ID_Pivot,Deleted,Post_Deletion_ID,Retailer_promotion_number_1,Salitix_client_number,Salitix_customer_number,Retailer_promotion_number_2,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Standard_margin_perc,Promo_margin_perc,Promo_Retro_Funding_Case,Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Unit_Qty,Trigger_Funding_Amount,Epos_Funding_Amount,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source
95,,,85,,SAI01,,Cycle 12 -Bacardi Carta Blanca 1L,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,2397870,,,,6,20.0,0,0,,,87.67,87.67,,,,28/10/2020,17/11/2020,,,1,0,0.720000,,,Core Only,PRF-2020-09-339050.pdf
96,,,86,,SAI01,,Cycle 12 - Bacardi Spiced 1L,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,7966994,,,,6,20.0,0,0,,,78.0,78.0,,,,28/10/2020,17/11/2020,,,1,0,0.160000,,,Core Only,PRF-2020-09-339052.pdf
97,,,87,,SAI01,,Cycle 12 - Grey Goose 35cl,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,7806460,,,,12,20.0,0,0,,,153.0,153.0,,,,28/10/2020,17/11/2020,,,1,0,0.500000,,,Core Only,PRF-2020-09-339053.pdf
98,,,88,,SAI01,,Cycle 12 - Martini Fiero 75cl,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,28/10/2020,17/11/2020,,,1,0,1.000000,,,Core Only,PRF-2020-09-339054.pdf
99,,,89,,SAI01,,Cycle 13 & 14 - Martini 75cl £7.50,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7974548,,,,6,20.0,0,0,,,35.8,35.8,,,,18/11/2020,01/01/2021,,,1,0,0.810000,,,Core Only,PRF-2020-09-339056.pdf
100,,,89,,SAI01,,Cycle 13 & 14 - Martini 75cl £7.50,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7974553,,,,6,20.0,0,0,,,35.8,35.8,,,,18/11/2020,01/01/2021,,,1,0,0.810000,,,Core Only,PRF-2020-09-339056.pdf
101,,,89,,SAI01,,Cycle 13 & 14 - Martini 75cl £7.50,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7974560,,,,6,20.0,0,0,,,35.8,35.8,,,,18/11/2020,01/01/2021,,,1,0,0.810000,,,Core Only,PRF-2020-09-339056.pdf
102,,,90,,SAI01,,Cycle 13 &14 - Benedictine 50cl,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,3167168,,,,6,20.0,0,0,,,75.51,75.51,,,,18/11/2020,01/01/2021,,,1,0,0.250000,,,Core Only,PRF-2020-09-339058.pdf
103,,,91,,SAI01,,Cycle 13 & 14 - St Germain 20cl,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7988455,,,,6,20.0,0,0,,,32.4,32.4,,,,18/11/2020,01/01/2021,,,1,0,0.900000,,,Core Only,PRF-2020-09-339062.pdf
104,,,92,,SAI01,,Cycle 13 & 14 - Patron XO Cafe,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7623801,,,,6,20.0,0,0,,,62.46,62.46,,,,18/11/2020,01/01/2021,,,1,0,0.100000,,,Core Only,PRF-2020-09-339064.pdf
105,,,93,,SAI01,,Cycle 14 - Martini Fiero 75cl,,E,09/12/2020,01/01/2021,09/12/2020,01/01/2021,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,09/12/2020,01/01/2021,,,1,0,1.000000,,,Core Only,PRF-2020-09-339066.pdf
106,,,83,,SAI01,,Cycle 12 - Bombay Sapphire 70cl,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,28/10/2020,17/11/2020,,,1,0,0.360000,,,Convenience Only,PRF-2020-09-339202.pdf
107,,,94,,SAI01,,C13 & C14 - Bacardi Carta Blanca,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,2397870,,,,6,20.0,0,0,,,87.67,87.67,,,,18/11/2020,01/01/2021,,,1,0,0.720000,,,Core Only,PRF-2020-10-340734.pdf
108,,,95,,SAI01,,C13 & C14 - Bombay Sapphire 1L,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,3355909,,,,6,20.0,0,0,,,100.9,100.9,,,,18/11/2020,01/01/2021,,,1,0,0.530000,,,Core Only,PRF-2020-10-340736.pdf
109,,,96,,SAI01,,C14 - Bombay Bramble 70cl,,E,09/12/2020,01/01/2021,09/12/2020,01/01/2021,,8012350,,,,6,20.0,0,0,,,80.28,80.28,,,,09/12/2020,01/01/2021,,,1,0,0.480000,,,Core Only,PRF-2020-10-340739.pdf
110,,,97,,SAI01,,C13 & C14 - Bombay Sapphire,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,18/11/2020,01/01/2021,,,1,0,0.580000,,,Core Only,PRF-2020-10-340740.pdf
