Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,5/25/2022,6/21/2022,Agreement.Promotion.5793587
110620729,BACARDI SPICED 1L,,,,16.99,5/25/2022,6/5/2022,Agreement.Promotion.5793641
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,5/25/2022,6/5/2022,Agreement.Promotion.5793692
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,5/25/2022,6/21/2022,Agreement.Promotion.5793738
111688573,BOMBAY SAPPHIRE SUNSET 70CL (ABV 43%),,2.00,,20.00,5/25/2022,6/21/2022,Agreement.Promotion.5793758
110620729,BACARDI SPICED 1L,,,,17.50,5/25/2022,6/21/2022,Agreement.Promotion.5846533
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.89,,21.00,5/25/2022,6/12/2022,Agreement.Promotion.5846943
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,8.00,5/25/2022,6/21/2022,Agreement.Promotion.5898858
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,8.00,5/25/2022,6/21/2022,Agreement.Promotion.5898858
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,8.00,5/25/2022,6/21/2022,Agreement.Promotion.5898858
111947504,MARTINI VIBRANTE NON-ALCOHOLIC 75CL,,1.17,,8.00,5/25/2022,6/21/2022,Agreement.Promotion.5951238
110620729,BACARDI SPICED 1L,,,,18.00,6/6/2022,6/21/2022,Agreement.Promotion.5793675
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.89,,20.00,6/13/2022,6/21/2022,Agreement.Promotion.5793799
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.00,6/6/2022,6/21/2022,Agreement.Promotion.5847412
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.70,,18.00,6/22/2022,7/19/2022,Agreement.Promotion.5927744
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.47,,13.00,6/22/2022,7/19/2022,Agreement.Promotion.5927757
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.47,,13.13,6/22/2022,7/19/2022,Agreement.Promotion.5927771
112429717,TAILS COCKTAILS ESPRESSO MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,12.00,6/22/2022,7/19/2022,Agreement.Promotion.5929272
112429830,TAILS COCKTAILS PASSION FRUIT MARTINI COCKTAIL 500ML (ABV 14.9%),,1.75,,12.00,6/22/2022,7/19/2022,Agreement.Promotion.5929272
112429928,TAILS COCKTAILS WHISKY SOUR 500ML (ABV 14.9%),,1.75,,12.00,6/22/2022,7/19/2022,Agreement.Promotion.5929272
112213596,DEWAR'S CARIBBEAN SMOOTH BLENDED SCOTCH WHISKY 70CL (ABV 40%),,3.33,,23.00,6/22/2022,7/19/2022,Agreement.Promotion.5929302
101524487,ASTI MARTINI 75CL,,,,7.00,6/22/2022,7/19/2022,Agreement.Promotion.6001742
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,8.00,7/20/2022,8/16/2022,Agreement.Promotion.6242090
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,8.00,7/20/2022,8/16/2022,Agreement.Promotion.6242090
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,8.00,7/20/2022,8/16/2022,Agreement.Promotion.6242090
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,2.38,,20.00,7/20/2022,8/16/2022,Agreement.Promotion.6322023
112442364,BOMBAY CITRON PRESSE GIN 70CL (ABV 37.5%),,2.38,,20.00,7/20/2022,8/16/2022,Agreement.Promotion.6322041
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.81,,22.00,7/20/2022,8/16/2022,Agreement.Promotion.6322197
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.26,,14.00,7/20/2022,8/16/2022,Agreement.Promotion.6322670
112213596,DEWAR'S CARIBBEAN SMOOTH BLENDED SCOTCH WHISKY 70CL (ABV 40%),,3.33,,23.00,7/20/2022,8/16/2022,Agreement.Promotion.6480210
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.26,,14.00,7/20/2022,8/16/2022,Agreement.Promotion.6511398
110620729,BACARDI SPICED 1L,,,,17.99,8/17/2022,9/13/2022,Agreement.Promotion.6650056
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.26,,14.00,8/17/2022,8/28/2022,Agreement.Promotion.6650085
