Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,1.64,,20,15/02/2023,07/03/2023,Agreement.Promotion.8361797
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.88,,25,15/02/2023,07/03/2023,Agreement.Promotion.8361906
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.6,,20,15/02/2023,07/03/2023,Agreement.Promotion.8362075
108448798,MAKER'S MARK BOURBON WHISKY 70CL (ABV 45%),,1.96,,25,15/02/2023,07/03/2023,Agreement.Promotion.8362254
108599131,SOURZ CHERRY 15% 70CL,,1.83,,8,15/02/2023,07/03/2023,Agreement.Promotion.8362727
110771922,SOURZ PASSION FRUIT 70CL (ABV 15%),,1.83,,8,15/02/2023,07/03/2023,Agreement.Promotion.8363420
110772431,BOWMORE ISLAY SINGLE MALT SCOTCH WHISKY AGED 12 YEARS 700ML (ABV 40%),,5.75,,30,15/02/2023,07/03/2023,Agreement.Promotion.8363501
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,1.96,,14,15/02/2023,07/03/2023,Agreement.Promotion.8365054
110733336,ROKU GIN THE JAPANESE CRAFT GIN 700ML (ABV 43%),,2.11,,25,08/03/2023,28/03/2023,Agreement.Promotion.8438237
110772554,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY AGED 10 YEARS 70CL (ABV 40%),,4.59,,30,08/03/2023,28/03/2023,Agreement.Promotion.8438869
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,2.17,,27,08/03/2023,28/03/2023,Agreement.Promotion.8439411
101534933,COURVOISIER VS COGNAC 35CL 40%,,0.68,,15,08/03/2023,28/03/2023,Agreement.Promotion.8446802
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,5.16,,22,08/03/2023,28/03/2023,Agreement.Promotion.8451760
101543215,COURVOISIER VSOP 70CL 40%,,4.3,,30,08/03/2023,28/03/2023,Agreement.Promotion.8451825
101557431,JIM BEAM BOURBON 70CL 40%,,1.73,,14,08/03/2023,28/03/2023,Agreement.Promotion.8453017
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.27,,14,08/03/2023,28/03/2023,Agreement.Promotion.8453356
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,08/03/2023,28/03/2023,Agreement.Promotion.8463370
101527670,SOURZ APPLE 70CL 15%,,1.83,,8,29/03/2023,18/04/2023,Agreement.Promotion.8643103
110733336,ROKU GIN THE JAPANESE CRAFT GIN 700ML (ABV 43%),,2.11,,25,29/03/2023,18/04/2023,Agreement.Promotion.8643233
101538336,FAMOUS GROUSE WHISKY 35CL 40%,,0.12,,9,29/03/2023,18/04/2023,Agreement.Promotion.8643313
110771922,SOURZ PASSION FRUIT 70CL (ABV 15%),,1.83,,8,29/03/2023,18/04/2023,Agreement.Promotion.8643319
110772431,BOWMORE ISLAY SINGLE MALT SCOTCH WHISKY AGED 12 YEARS 700ML (ABV 40%),,5.75,,30,29/03/2023,18/04/2023,Agreement.Promotion.8643515
109637241,HIGHLAND PARK DRAGON LEGEND SINGLE MALT SCOTCH WHISKY 70CL (ABV 43.1%),,2.92,,32,29/03/2023,18/04/2023,Agreement.Promotion.8643690
108599131,SOURZ CHERRY 15% 70CL,,1.83,,8,29/03/2023,18/04/2023,Agreement.Promotion.8644024
101550458,COURVOISIER VS COGNAC 70CL 40%,,1.32,,26,29/03/2023,18/04/2023,Agreement.Promotion.8644694
108448798,MAKER'S MARK BOURBON WHISKY 70CL (ABV 45%),,1.96,,25,29/03/2023,18/04/2023,Agreement.Promotion.8644788
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,1.96,,14,29/03/2023,18/04/2023,Agreement.Promotion.8644954
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,1.64,,20,29/03/2023,18/04/2023,Agreement.Promotion.8645787
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.88,,25,29/03/2023,18/04/2023,Agreement.Promotion.8646225
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.6,,20,29/03/2023,18/04/2023,Agreement.Promotion.8646754
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.93,,17,08/03/2023,28/03/2023,Agreement.Promotion.8793209
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,08/03/2023,28/03/2023,Agreement.Promotion.8793233
