,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
607,CL023,ASD01,MS,,,,,7000084176,2023-06-30,,,2023-06-30,2023-06-30,,,3491.40,0.2,4189.68,, Look on image,Automatic
608,CL023,ASD01,FX,,,,Fixed Agreement,7000084433,2022-06-28,1000187927,,2022-06-27,2022-06-27,,,48.22,0.2,57.864,,ASDA Media Partnership Income,Automatic
609,CL023,ASD01,FX,,,,Fixed Agreement,7000084475,2022-06-28,1000188413,,2022-06-27,2022-06-27,,,4877.33,0.2,5852.795999999999,,ASDA Media Partnership Income,Automatic
610,CL023,ASD01,FX,,,,Fixed Agreement,7000084589,2022-06-28,1000186510,,2022-06-27,2022-06-27,,,5278.98,0.2,6334.775999999999,,ASDA Media Partnership Income,Automatic
611,CL023,ASD01,MS,,,,,7000096445,2019-06-27,,,2019-06-27,2019-06-27,,,2640.00,0.2,3168.0,, Look on image,Automatic
612,CL023,ASD01,MS,,,,,7000096446,2019-06-27,,,2019-06-27,2019-06-27,,,4277.50,0.2,5133.0,, Look on image,Automatic
613,CL023,ASD01,MS,,,,,7000096447,2019-06-27,,,2019-06-27,2019-06-27,,,4277.50,0.2,5133.0,, Look on image,Automatic
614,CL023,ASD01,MS,,,,,7000096448,2019-06-27,,,2019-06-27,2019-06-27,,,4277.50,0.2,5133.0,, Look on image,Automatic
615,CL023,ASD01,MS,,,,,7000096449,2019-06-27,,,2019-06-27,2019-06-27,,,4348.00,0.2,5217.599999999999,, Look on image,Automatic
616,CL023,ASD01,MS,,,,,7000096450,2019-06-27,,,2019-06-27,2019-06-27,,,5000.00,0.2,6000.0,, Look on image,Automatic
617,CL023,ASD01,MS,,,,,7000096451,2019-06-27,,,2019-06-27,2019-06-27,,,5280.00,0.2,6336.0,, Look on image,Automatic
618,CL023,ASD01,MS,,,,,7000096452,2019-06-27,,,2019-06-27,2019-06-27,,,5512.00,0.2,6614.4,, Look on image,Automatic
619,CL023,ASD01,MS,,,,,7000096453,2019-06-27,,,2019-06-27,2019-06-27,,,6419.00,0.2,7702.799999999999,, Look on image,Automatic
