,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
114,CL002,ASD01,MS,,,,,7000107692,2021-08-11,,,2021-08-11,2021-08-11,,,1568.80,0.2,1882.56,, Look on image,Automatic
115,CL002,ASD01,PR,E,,,Volume Agreement,7000107889,2022-08-12,1000189629,3924298.0,2022-08-01,2022-08-10,35135.0,0.5,17567.5,0.0,17567.5,,,Automatic
116,CL002,ASD01,PR,E,,,Volume Agreement,7000107998,2020-08-31,1000051132,5930403.0,2020-08-22,2020-08-31,51124.0,0.35,17893.4,0.0,17893.4,,,Automatic
117,CL002,ASD01,MS,,,,,7000123547,2019-08-08,,50618092.0,2019-08-08,2019-08-08,2841.5001549545764,0.07,198.90501084682035,0.2,238.6860130161844,, Look on image,Automatic
118,CL002,ASD01,MS,,,,,7000123547,2019-08-08,,50618093.0,2019-08-08,2019-08-08,2867.264270548129,0.06,172.03585623288777,0.2,206.44302747946531,, Look on image,Automatic
119,CL002,ASD01,MS,,,,,7000123547,2019-08-08,,50618094.0,2019-08-08,2019-08-08,3503.718438570115,0.06,210.2231063142069,0.2,252.26772757704828,, Look on image,Automatic
120,CL002,ASD01,MS,,,,,7000123547,2019-08-08,,50618095.0,2019-08-08,2019-08-08,3411.9337767680827,0.06,204.71602660608497,0.2,245.65923192730193,, Look on image,Automatic
121,CL002,ASD01,PR,E,,,Volume Agreement,7000123548,2021-09-10,1000116638,50618092.0,2021-09-01,2021-09-08,7250.366704487536,0.07,507.5256693141275,0.2,609.030803176953,,,Automatic
122,CL002,ASD01,PR,E,,,Volume Agreement,7000123548,2021-09-10,1000116638,50618093.0,2021-09-01,2021-09-08,7316.106375676485,0.06,438.9663825405891,0.2,526.759659048707,,,Automatic
123,CL002,ASD01,PR,E,,,Volume Agreement,7000123548,2021-09-10,1000116638,50618094.0,2021-09-01,2021-09-08,8940.081690516012,0.06,536.4049014309606,0.2,643.6858817171528,,,Automatic
124,CL002,ASD01,PR,E,,,Volume Agreement,7000123548,2021-09-10,1000116638,50618095.0,2021-09-01,2021-09-08,8705.884111905378,0.06,522.3530467143227,0.2,626.8236560571871,,,Automatic
125,CL002,ASD01,PR,E,,,Volume Agreement,7000123552,2022-08-31,1000195911,50161041.0,2022-08-11,2022-08-31,12643.0,0.33,4172.1900000000005,0.2,5006.628000000001,,,Automatic
126,CL002,ASD01,PR,E,,,Volume Agreement,7000123552,2022-08-31,1000195911,50959536.0,2022-08-11,2022-08-31,2457.0,0.33,810.81,0.2,972.9719999999999,,,Automatic
127,CL002,ASD01,PR,E,,,Volume Agreement,7000123571,2021-09-10,1000124382,50308084.0,2021-09-01,2021-09-08,18988.0,0.3,5696.4,0.2,6835.679999999999,,,Automatic
128,CL002,ASD01,PR,E,,,Volume Agreement,7000123571,2021-09-10,1000124382,50308085.0,2021-09-01,2021-09-08,56936.0,0.3,17080.8,0.2,20496.96,,,Automatic
129,CL002,ASD01,FX,,,,Fixed Agreement,7000123589,2020-09-29,1000059456,,2020-09-01,2020-09-01,,,1698.61,0.2,2038.3319999999999,,ASDA Media Partnership Income,Automatic
130,CL002,ASD01,MS,,,,,7000123647,2021-09-16,,,2021-09-16,2021-09-16,,,762.80,0.2,915.3599999999999,, Look on image,Automatic
