Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Item No,Item Desc
CL002,MOR01,111809988,,
CL002,MOR01,109933349,,
CL002,MOR01,100112860,,
CL002,MOR01,110767528,,
CL002,MOR01,107146481,,
CL002,MOR01,107629319,,
CL002,MOR01,110235960,,
CL002,MOR01,106282798,,
CL002,MOR01,110010656,,
CL002,MOR01,104811060,,
CL002,MOR01,109275690,,
CL002,MOR01,112367085,,
CL002,MOR01,104928057,,
CL002,MOR01,112650622,,
CL002,MOR01,110549424,,
CL002,MOR01,108268615,,
CL002,MOR01,112240623,,
CL002,MOR01,110824238,,
CL002,MOR01,110940757,,
CL002,MOR01,109933293,,
CL002,MOR01,109255314,,
CL002,MOR01,112367149,,
CL002,MOR01,102474135,,
CL002,MOR01,109854771,,
CL002,MOR01,100112991,,
CL002,MOR01,112595601,,
CL002,MOR01,111389750,,
CL002,MOR01,111459033,,
CL002,MOR01,101795738,,
CL002,MOR01,107535064,,
CL002,MOR01,108322626,,
CL002,MOR01,109265740,,
CL002,MOR01,109702081,,
CL002,MOR01,100177591,,
CL002,MOR01,108991301,,
CL002,MOR01,111776776,,
CL002,MOR01,100120561,,
CL002,MOR01,108616536,,
CL002,MOR01,111776611,,
CL002,MOR01,100126698,,
CL002,MOR01,111454224,,
CL002,MOR01,111776830,,
CL002,MOR01,109415251,,
CL002,MOR01,106072651,,
CL002,MOR01,104711958,,
CL002,MOR01,109415162,,
CL002,MOR01,106093305,,
CL002,MOR01,100119914,,
CL002,MOR01,112367000,,
CL002,MOR01,107162675,,
CL002,MOR01,100126971,,
CL002,MOR01,100112173,,
CL002,MOR01,110236647,,
CL002,MOR01,104536740,,
CL002,MOR01,100120405,,
CL002,MOR01,104409767,,
CL002,MOR01,111817152,,
CL002,MOR01,100177807,,
CL002,MOR01,105405098,,
CL002,MOR01,108832116,,
CL002,MOR01,100177639,,
CL002,MOR01,102880344,,
CL002,MOR01,100126962,,
CL002,MOR01,105853616,,
CL002,MOR01,100120392,,
CL002,MOR01,100112966,,
CL002,MOR01,106282595,,
CL002,MOR01,110606628,,
CL002,MOR01,110791077,,
CL002,MOR01,112195236,,
CL002,MOR01,111776725,,
CL002,MOR01,100126196,,
CL002,MOR01,100119906,,
CL002,MOR01,100126882,,
CL002,MOR01,100126161,,
CL002,MOR01,103994044,,
CL002,MOR01,109933672,,
CL002,MOR01,101787869,,
CL002,MOR01,110767317,,
CL002,MOR01,100272450,,
CL002,MOR01,104538809,,
CL002,MOR01,111422767,,
CL002,MOR01,107146616,,
CL002,MOR01,100125581,,
CL002,MOR01,111578147,,
CL002,MOR01,100112886,,
CL002,MOR01,111468095,,
CL002,MOR01,110412671,,
CL002,MOR01,110489071,,
CL002,MOR01,100125599,,
CL002,MOR01,106282755,,
CL002,MOR01,100126671,,
CL002,MOR01,107629255,,
CL002,MOR01,105859436,,
CL002,MOR01,106282712,,
CL002,MOR01,110427435,,
CL002,MOR01,108991361,,
CL002,MOR01,100125601,,
CL002,MOR01,104538921,,
CL002,MOR01,106571688,,
CL002,MOR01,100126989,,
CL002,MOR01,111810153,,
CL002,MOR01,111739502,,
CL002,MOR01,100180441,,
CL002,MOR01,110010681,,
CL002,MOR01,109854747,,
CL002,MOR01,100272484,,
CL002,MOR01,110922591,,
CL002,MOR01,111572247,,
CL002,MOR01,100116916,,
CL002,MOR01,107011797,,
CL002,MOR01,111620421,,
CL002,MOR01,110022833,,
CL002,MOR01,110010621,,
CL002,MOR01,111076315,,
CL002,MOR01,111580458,,
CL002,MOR01,104208092,,
CL002,MOR01,100117863,,
CL003,MOR01,110406503,,
CL003,MOR01,111322441,,
CL003,MOR01,109427155,,
CL003,MOR01,106072141,,
CL003,MOR01,112668283,,
CL003,MOR01,109307145,,
CL003,MOR01,112367552,,
CL003,MOR01,111853911,,
CL003,MOR01,109151081,,
CL003,MOR01,106073582,,
CL003,MOR01,108637100,,
CL003,MOR01,106372558,,
CL003,MOR01,108457740,,
CL003,MOR01,104583301,,
CL003,MOR01,105040084,,
CL003,MOR01,109431824,,
CL003,MOR01,100885993,,
CL003,MOR01,100106232,,
CL003,MOR01,112671933,,
CL003,MOR01,109479035,,
CL003,MOR01,108359373,,
CL003,MOR01,100121176,,
CL003,MOR01,109833524,,
CL003,MOR01,100916833,,
CL003,MOR01,104208893,,
CL003,MOR01,106418245,,
CL003,MOR01,100106419,,
CL003,MOR01,105020585,,
CL003,MOR01,111117893,,
CL003,MOR01,104402469,,
CL003,MOR01,109409854,,
CL003,MOR01,111117990,,
CL003,MOR01,111572351,,
CL003,MOR01,112035793,,
CL003,MOR01,112371287,,
CL003,MOR01,110406677,,
CL003,MOR01,105745691,,
CL003,MOR01,106087642,,
CL003,MOR01,109921188,,
CL003,MOR01,111347605,,
CL003,MOR01,110427371,,
CL003,MOR01,109431613,,
CL003,MOR01,100116713,,
CL003,MOR01,107149251,,
CL003,MOR01,105020438,,
CL003,MOR01,108053041,,
CL003,MOR01,108457811,,
CL003,MOR01,105038523,,
CL003,MOR01,111854084,,
CL003,MOR01,106072002,,
CL003,MOR01,102861442,,
CL003,MOR01,105987500,,
CL003,MOR01,108313009,,
CL003,MOR01,104744485,,
CL003,MOR01,111252163,,
CL003,MOR01,106991471,,
CL003,MOR01,107146691,,
CL003,MOR01,111563797,,
CL003,MOR01,102876695,,
CL003,MOR01,104209132,,
CL003,MOR01,106566707,,
CL003,MOR01,100106291,,
CL003,MOR01,112035945,,
CL003,MOR01,111252366,,
CL003,MOR01,107147272,,
CL003,MOR01,106073558,,
CL003,MOR01,104583255,,
CL003,MOR01,109328827,,
CL003,MOR01,106418421,,
CL003,MOR01,102878922,,
CL003,MOR01,107145795,,
CL003,MOR01,100116730,,
CL003,MOR01,106072361,,
CL003,MOR01,111176990,,
CL003,MOR01,107978130,,
CL003,MOR01,106073611,,
CL003,MOR01,100116553,,
CL003,MOR01,109156746,,
CL003,MOR01,108569021,,
CL003,MOR01,106072264,,
CL003,MOR01,106072045,,
CL003,MOR01,104402400,,
CL003,MOR01,112031178,,
CL003,MOR01,109702057,,
CL003,MOR01,109432122,,
CL003,MOR01,111342599,,
CL003,MOR01,110183805,,
CL003,MOR01,108052961,,
CL003,MOR01,107145883,,
CL003,MOR01,105036659,,
CL003,MOR01,100121635,,
CL003,MOR01,100126647,,
CL003,MOR01,112666683,,
CL003,MOR01,100126399,,
CL003,MOR01,112362250,,
CL003,MOR01,112177302,,
CL003,MOR01,112050150,,
CL003,MOR01,112362170,,
CL003,MOR01,105768171,,
CL003,MOR01,112371199,,
CL003,MOR01,111117738,,
CL003,MOR01,107136186,,
CL003,MOR01,104209087,,
CL003,MOR01,104206062,,
CL003,MOR01,111853701,,
CL003,MOR01,100111648,,
CL003,MOR01,111563826,,
CL003,MOR01,108270601,,
CL003,MOR01,100126591,,
CL003,MOR01,112672784,,
CL003,MOR01,110600023,,
CL003,MOR01,109703931,,
CL003,MOR01,108449643,,
CL003,MOR01,100126479,,
CL003,MOR01,104208383,,
CL003,MOR01,100116676,,
CL003,MOR01,107939755,,
CL003,MOR01,111221990,,
CL003,MOR01,108567682,,
CL003,MOR01,109432093,,
CL003,MOR01,106072205,,
CL003,MOR01,109836987,,
CL003,MOR01,108371129,,
CL003,MOR01,111265909,,
CL003,MOR01,100126401,,
CL003,MOR01,105401695,,
CL003,MOR01,106566660,,
CL003,MOR01,100125249,,
CL003,MOR01,100121150,,
CL003,MOR01,100116684,,
CL003,MOR01,109437054,,
CL003,MOR01,108312903,,
CL003,MOR01,110214801,,
CL003,MOR01,110773127,,
CL003,MOR01,112041683,,
CL003,MOR01,107932588,,
CL003,MOR01,105066348,,
CL003,MOR01,108529299,,
CL003,MOR01,106373585,,
CL003,MOR01,112035873,,
CL003,MOR01,100126911,,
CL003,MOR01,110596458,,
CL003,MOR01,107058886,,
CL003,MOR01,108313050,,
CL003,MOR01,107136119,,
CL003,MOR01,109921241,,
CL003,MOR01,100125214,,
CL003,MOR01,100106611,,
CL003,MOR01,107146819,,
CL003,MOR01,100111656,,
CL003,MOR01,107149331,,
CL003,MOR01,108499122,,
CL003,MOR01,100125151,,
CL003,MOR01,105740937,,
CL003,MOR01,105415958,,
CL003,MOR01,112359288,,
CL003,MOR01,106072310,,
CL003,MOR01,100116502,,
CL003,MOR01,112670236,,
CL003,MOR01,108364691,,
CL003,MOR01,105038769,,
CL003,MOR01,112359106,,
CL003,MOR01,110031991,,
CL003,MOR01,102878957,,
CL003,MOR01,100119076,,
CL003,MOR01,105929588,,
CL003,MOR01,110056857,,
CL003,MOR01,106468015,,
CL003,MOR01,110772968,,
CL003,MOR01,105691864,,
CL003,MOR01,111252729,,
CL003,MOR01,100126436,,
CL003,MOR01,104402434,,
CL003,MOR01,108312971,,
CL003,MOR01,102878316,,
CL003,MOR01,106566627,,
CL003,MOR01,105038283,,
CL003,MOR01,110869866,,
CL003,MOR01,109367800,,
CL003,MOR01,111584299,,
CL003,MOR01,111054802,,
CL003,MOR01,108637151,,
CL003,MOR01,105053395,,
CL003,MOR01,102861830,,
CL003,MOR01,106131640,,
CL003,MOR01,111265984,,
CL003,MOR01,111342716,,
CL003,MOR01,100126356,,
CL003,MOR01,108313308,,
CL003,MOR01,108313341,,
CL003,MOR01,112670201,,
CL003,MOR01,100126364,,
CL003,MOR01,105020497,,
CL003,MOR01,105415982,,
CL003,MOR01,111159188,,
CL003,MOR01,111838092,,
CL003,MOR01,102878551,,
CL003,MOR01,106073478,,
CL003,MOR01,100126461,,
CL003,MOR01,110134211,,
CL003,MOR01,106413591,,
CL003,MOR01,110869807,,
CL003,MOR01,110763181,,
CL003,MOR01,106372881,,
CL003,MOR01,110773240,,
CL003,MOR01,110766509,,
CL003,MOR01,111252577,,
CL003,MOR01,102878615,,
CL003,MOR01,105015778,,
CL003,MOR01,104926756,,
CL003,MOR01,105284644,,
CL003,MOR01,111865162,,
CL003,MOR01,105041327,,
CL003,MOR01,110763121,,
CL004,MOR01,112597294,,
CL004,MOR01,110918517,,
CL004,MOR01,109257416,,
CL004,MOR01,110794702,,
CL004,MOR01,104081693,,
CL004,MOR01,110403214,,
CL004,MOR01,109826383,,
CL004,MOR01,109199519,,
CL004,MOR01,106289341,,
CL004,MOR01,105725227,,
CL004,MOR01,109826341,,
CL004,MOR01,100001751,,
CL004,MOR01,109199383,,
CL004,MOR01,108536157,,
CL004,MOR01,110918621,,
