,ID,Salitix_client_number,Salitix_client_name,Salitix_customer_number,salitix_customer_short_name,Promo_Status,Audit_Year,Retailer_promotion_number,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Promo_Retro_Funding(Case),Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Funding_Amount,Epos_Funding_Amount,Salitix_EPOS_PRD_Status_ind,Salitix_EPOS_Qty,Salitix_EPOS_Value,Salitix_Invoice_Qty_Units,Salitix_Dupe_Record_ind,Audit_Comments,CreatedDate,CreatedBy,LastUpdate,LastUpdateBy,Trigger_Unit_Qty,Salitix_Overlap_Record_ind,Salitix_Case_Size_Diff_Record_ind,Salitix_VAT_Rate_Diff_Record_ind,Salitix_Avg_Inv_Promo_Case_Price,Actual_Promotion_ID,MatchPass,Standard_Margin_perc,Promo_Margin_perc,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source,Promotion_Zone_Number,PS_History
20,48971,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-36,McVitie's Penguin @ £0.9,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5954420,,PENGUIN BARS 8pk ORANGE,,36,0.2,0.0,0.0,1.0,0.9,22.2,22.2,2.22,,,0.0,0.0,0.0,0.062,Y,45134.0,45024.52,46656.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,22.2,,,0.0,0.0,1200.0,43200.0,No,pladis Penguin SS1 @ £0.90,,
21,48972,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-37,VIBs @ £1.25,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50161038,,MCV VIB 250g BORANG,,12,0.2,0.0,0.0,1.79,1.25,12.89,12.89,3.96,,,0.0,0.0,0.0,0.33,Y,13288.0,16498.45,,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,,1000084733,1.0,0.0,0.0,2500.0,30000.0,No,pladis McVitie's VIBs P2 shelf @ £1.25,,
22,48973,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-37,VIBs @ £1.25,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50161041,,MCV VIB 250G CARAML,,12,0.2,0.0,0.0,1.79,1.25,12.89,12.89,3.96,,,0.0,0.0,0.0,0.33,Y,32585.0,40683.66,30600.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,12.89,1000084733,1.0,0.0,0.0,2500.0,30000.0,No,pladis McVitie's VIBs P2 shelf @ £1.25,,
23,48974,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-37,VIBs @ £1.25,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50161043,,MCV VIB 250g CHOCHZ,,12,0.2,0.0,0.0,1.79,1.25,12.89,12.89,3.96,,,0.0,0.0,0.0,0.33,Y,13145.0,16386.43,1800.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,12.89,1000084733,1.0,0.0,0.0,2000.0,24000.0,No,pladis McVitie's VIBs P2 shelf @ £1.25,,
24,48975,CL002,PLADIS,ASD01,ASDA,2,2021,CL002-ASD01-2021-38,Jaffa Twin Pack GE10 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50279604,,McV Jaffa Cakes 244g Twin,,6,0.0,0.0,0.0,2.0,1.0,8.08,8.08,4.04,,,0.0,0.0,0.0,0.673,Y,505806.0,458291.91,465282.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,8.08,1000084043,1.0,0.0,0.0,5358.0,32148.0,No,pladis McVitie's Jaffa Twin P2 GE10 @ £1,,
25,48976,CL002,PLADIS,ASD01,ASDA,2,2021,CL002-ASD01-2021-39,McVitie's Jaffa Triple Shelf @ £2.60,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50279605,,Jaffa Cakes 476G Original,,6,0.0,0.0,0.0,3.5,2.6,15.14,15.14,3.89,,,0.0,0.0,0.0,0.648,Y,48224.0,119692.81,,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,,1000091983,1.0,0.0,0.0,930.0,5580.0,No,pladis Jaffa Triple Shelf @ £2.60 P2,,
26,48977,CL002,PLADIS,ASD01,ASDA,3,2021,CL002-ASD01-2021-40,McVitie's Choc Dig Twin Shelf @ £2.50,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50440807,,McV Choc Digs 2 x 316g Milk ,,6,0.2,0.0,0.0,3.0,2.5,10.8,10.8,1.8,,,0.0,0.0,0.0,0.3,Y,87730.0,213962.56,120600.0,N,Claim 5108. £10k.,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,10.8,1000086758,1.0,0.0,0.0,1000.0,6000.0,No,pladis McVitie's Choc Digs Twin Pack Shelf @ £2.50 P2,,
27,48978,CL002,PLADIS,ASD01,ASDA,3,2021,CL002-ASD01-2021-40,McVitie's Choc Dig Twin Shelf @ £2.50,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50440808,,McV Choc Digs 2 x 316g Dark,,6,0.2,0.0,0.0,3.0,2.5,10.8,10.8,1.8,,,0.0,0.0,0.0,0.3,Y,25601.0,62257.64,34800.0,N,Claim 5108. £10k.,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,10.8,1000086758,1.0,0.0,0.0,300.0,1800.0,No,pladis McVitie's Choc Digs Twin Pack Shelf @ £2.50 P2,,
28,48979,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-41,Flipz GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50456600,,Flipz 100g Dark,,6,0.2,0.0,0.0,1.5,1.0,5.33,5.33,1.78,,,0.0,0.0,0.0,0.297,Y,12304.0,12346.89,11880.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,5.33,1000083744,1.0,0.0,0.0,1020.0,6120.0,No,pladis Flipz P2 GE13 @ £1,,
29,48980,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-42,Go Ahead Fruity Cake Bites @ £1.25,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50474793,,Go Ahead 5 x 27g RASPST,,8,0.0,0.0,0.0,2.39,1.25,12.79,12.79,6.1,,,0.0,0.0,0.0,0.763,Y,53669.0,66796.86,60000.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,12.79,1000082308,1.0,0.0,0.0,980.0,7840.0,No,pladis Go Ahead Fruity Bites P2 QMS8 @ £1.25,,
30,48981,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-42,Go Ahead Fruity Cake Bites @ £1.25,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50474794,,Go Ahead 5 x 27g ORGLM,,8,0.0,0.0,0.0,2.39,1.25,12.79,12.79,6.1,,,0.0,0.0,0.0,0.763,Y,36784.0,45543.5,42400.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,12.79,1000082308,1.0,0.0,0.0,980.0,7840.0,No,pladis Go Ahead Fruity Bites P2 QMS8 @ £1.25,,
31,48982,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-43,Flipz GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50671224,,MCV FLIPZ 90g White Fudge,,6,0.0,0.0,0.0,1.5,1.0,6.4,6.4,2.13,,,0.0,0.0,0.0,0.355,Y,22919.0,25424.2,18360.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,6.4,1000083825,1.0,0.0,0.0,1900.0,11400.0,No,pladis Flipz P2 GE13 @ £1,,
32,48983,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-44,Flipz GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50714040,,MCV FLIPZ 90g Salted Caramel,,6,0.2,0.0,0.0,1.5,1.0,5.03,5.03,1.68,,,0.0,0.0,0.0,0.28,Y,47186.0,47179.7,43200.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,5.03,1000082690,1.0,0.0,0.0,1568.0,9408.0,No,pladis Flipz P2 GE13 @ £1,,
33,48984,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-45,Flipz GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,50873404,,MCV FLIPZ 90g Milk,,6,0.2,0.0,0.0,1.5,1.0,5.33,5.33,1.78,,,0.0,0.0,0.0,0.297,Y,18292.0,20747.94,10800.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,5.33,1000083744,1.0,0.0,0.0,4000.0,24000.0,No,pladis Flipz P2 GE13 @ £1,,
