0,1,2,3,4,5,6
ASD01,0090039540,15000.0,15000.0,Gross Amount is an integer,,
ASD01,7000168980,68200.0,68200.0,Gross Amount is an integer,,
ASD01,7000010535,22950.0,22950.0,Gross Amount is an integer,,
ASD01,0090032018,100000.0,100000.0,Gross Amount is an integer,,
ASD01,20JUL182602,390.0,390.0,Gross Amount is an integer,,
SAI01,0090036710,200.0,200.0,Gross Amount is an integer,,
SAI01,FD348341/01,1080.0,1080.0,Gross Amount is an integer,,
SAI01,FD349191/01,823.0,823.0,Gross Amount is an integer,,
SAI01,RP2045/001,3102.0,3102.0,Gross Amount is an integer,,
SAI01,FD346333/01,536.0,536.0,Gross Amount is an integer,,
SAI01,FD351991/01,209.0,209.0,Gross Amount is an integer,,
MOR01,620735319,333.0,333.0,Gross Amount is an integer,,
MOR01,611717465,1136.0,1136.0,Gross Amount is an integer,,
MOR01,600678658,6.0,6.0,Gross Amount is an integer,,
MOR01,0090037406,39.0,39.0,Gross Amount is an integer,,
MOR01,723144954,16724.0,16724.0,Gross Amount is an integer,,
TES01,0090027864,1500.0,1500.0,Gross Amount is an integer,,
TES01,0090032988,2084.0,2084.0,Gross Amount is an integer,,
TES01,100089938,5881.0,5881.0,Gross Amount is an integer,,
ASD01,7000106080,49350.0,49350.0,Gross Amount is an integer,,
ASD01,7000108185,125000.0,125000.0,Gross Amount is an integer,,
ASD01,0090038086,400000.0,400000.0,Gross Amount is an integer,,
ASD01,7000046997,2566.0,2566.0,Gross Amount is an integer,,
ASD01,7000001291,66.0,66.0,Gross Amount is an integer,,
ASD01,0090040522,60000.0,60000.0,Gross Amount is an integer,,
ASD01,7000065139,46875.0,46875.0,Gross Amount is an integer,,
ASD01,7000063799,68200.0,68200.0,Gross Amount is an integer,,
ASD01,0090039267,3334.0,3334.0,Gross Amount is an integer,,
ASD01,7000160150,35000.0,35000.0,Gross Amount is an integer,,
ASD01,0090039575,10206.0,10206.0,Gross Amount is an integer,,
ASD01,7000189361,26875.0,26875.0,Gross Amount is an integer,,
ASD01,7000059694,2500.0,2500.0,Gross Amount is an integer,,
ASD01,7000097067,147797.0,147797.0,Gross Amount is an integer,,
ASD01,7000079582,57000.0,57000.0,Gross Amount is an integer,,
ASD01,7000060006,57000.0,57000.0,Gross Amount is an integer,,
ASD01,0090041957,2835.0,2835.0,Gross Amount is an integer,,
