0,1,2,3,4,5,6
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,JACOBS CHEDDARS PLAIN 150G,
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,MCV CHOC HOBNOBS MILK 262G,
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,PENGUIN BARS MILK 8X24.6,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV CLUB BAR ORANGE 7X24G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV VIB CARAML 250G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV VIB CHOCHZ 250G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV DIGESTIVES MILK 433G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,JAFFA CAKE TWIN  244G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV FLIPZ MILK 100G,Gate Fee
ASD01,7000006169,12183.0,12183.0,Gross Check,Historic Audit Claim (2018),Funding Discrepancy 20182303FT
ASD01,7000101677,15260.0,18312.0,Gross Check,MCV FLIPZ DARK 100G,Gate Fee
ASD01,7000008773,1080.0,1296.0,Nett Check,TOB,
ASD01,7000054166,8100.0,9720.0,Nett Check,,; ;  Look on image
