,Vendor_Name,Retailer_Invoice
19753,UNITAS,UNSI0012247
19754,ICELAND,ADD16006/5021
19755,COOP,TI01098420
19756,ICELAND,20039/2224
19757,ASDA,7000161877
19758,TESCO,2100453635
19759,SAINSBURYS,RP1068/U0200/004
19760,SAINSBURYS,FD369086/01
19761,COOP,TI00843570
19762,MANDS,5100325770
19763,COOP,TI01249451
19764,TESCO,2100865399
19765,SAINSBURYS,RP9828/U0200/002
19766,ICELAND,961/3321
19767,WAITROSE,70171377091
19768,ICELAND,ADD17686/323
19769,ASDA,7000151464
19770,TESCO,2100532190
19771,MORRISONS,20211383738712
19772,BOOKER,90727351
19773,COOP,TI01084620
19774,COOP,TI01143887
19775,SAINSBURYS,RP6969/U0200/002
19776,MORRISONS,2020951594436
19777,COSTCO,393812
19778,COOP,TI00964723
19779,ICELAND,ADD16271/1322
19780,MORRISONS,20232074767744
19781,MORRISONS,20211373984396
19782,COOP,TI00909797
19783,MANDS,5100325389 93971
19784,COOP,TI01007108
19785,UNITAS,UNSI0026354
19786,TESCO,2100906278
19787,COOP,PCM107806
19788,AMAZON,5801057365
19789,TESCO,1002100485499
19790,TESCO,1002100526046
19791,SAINSBURYS,RP8506/U0200/001
19792,SAINSBURYS,RP5607/U0200/002
19793,MORRISONS,2020020_861389902
19794,MORRISONS,20211141730148
19795,MORRISONS,20221684909797
19796,COOP,TI00941491
19797,SAINSBURYS,RP5218/U0200/00
19798,TESCO,2100517665
19799,SAINSBURYS,PD00747037
19800,MORRISONS,2020915647493
19801,COOP,TI00890747
19802,WAITROSE,4700059047
19803,BESTWAY,1152947/6400
19804,WAITROSE,4700237520
19805,TESCO,2100416778
19806,SAINSBURYS,RP2220/U0200/004
19807,AMAZON,2121409346
19808,WAITROSE,4700122983
19809,ICELAND,200/2123
19810,WAITROSE,4700236331
19811,MORRISONS,20201052462452
19812,ASDA,700012353
19813,COOP,TI00899140
19814,COOP,TI00985061
19815,COOP,TI00964729
19816,COOP,TI01030525
19817,COOP,TI01244730
19818,ASDA,7000005473
19819,TESCO,2100327348
19820,TESCO,2100497184
19821,TESCO,2100650672
19822,SAINSBURYS,RP2154/U0200/004
19823,SAINSBURYS,RP663/U0200/001
19824,SAINSBURYS,RP5809/U0200/003
19825,BOOKER,90690474
19826,ASDA,6601012964
19827,ASDA,7000057822
19828,SAINSBURYS,PD00750560
19829,SAINSBURYS,RP9535/U0200/002
19830,WAITROSE,70171282024
19831,BOOKER,90777179
19832,BESTWAY,1180065
19833,TESCO,2100413110
19834,SAINSBURYS,FD370053 / 01
19835,MORRISONS,2020904402097
19836,MORRISONS,2020997085345
19837,MORRISONS,20214501077121
19838,BESTWAY,1066508
19839,COOP,VI00025734
19840,COOP,TI01237072
19841,TESCO,2100388159
19842,SAINSBURYS,RP2154/U0200/001
19843,MORRISONS,20211519062386
19844,COOP,TI01247417
19845,MORRISONS,20211280106632
19846,BESTWAY,994968
19847,ICELAND,421/5122
19848,ASDA,9300856141
19849,ASDA,7000148402
19850,TESCO,1002100211903
19851,COOP,TI00855797
19852,SAINSBURYS,RP4828/U0200/002
19853,COOP,TI01188665
19854,COOP,TI01204863
19855,WAITROSE,4700212564
19856,TESCO,94071248
19857,MORRISONS,20211054716541
19858,COOP,TI00854201
19859,COOP,TI00914582
19860,BESTWAY,1116109
19861,MORRISONS,20222085102470
19862,MANDS,5101983943
19863,COOP,TI01093698
19864,COOP,TI01129267
19865,ICELAND,283/4623
19866,ICELAND,283/4723
19867,ASDA,7000055158
19868,ASDA,7000072263
19869,SPAR,SCO116438
19870,TESCO,1002100671846
19871,MORRISONS,2022SP203-339
19872,MORRISONS,20221990649204
19873,SAINSBURYS,RP4447/U0200/004
19874,TESCO,2100377183
19875,TESCO,2100666468
19876,BOOKER,90719733
19877,COOP,TI01172789
19878,MORRISONS,20222046699548
19879,ICELAND,117/3723
19880,SAINSBURYS,RP6861/U0200/001
19881,MORRISONS,2020929649586
19882,MORRISONS,2020902273126
19883,MORRISONS,20211403231873
19884,MANDS,164319082018-1
19885,COOP,TI01063868
19886,COOP,TI01177084
19887,MORRISONS,20222024522018
19888,ASDA,7000031886
19889,TESCO,2100328327
19890,NISA,T269821
19891,COSTCO,373281
19892,WAITROSE,DBRCLAIM-002012
19893,MANDS,5100151731
19894,ASDA,7000009828
19895,COOP,TI00935629
19896,ICELAND,ADD17686 623
19897,WAITROSE,4700170836
19898,MORRISONS,20232065827990
19899,ASDA,7000161613
19900,TESCO,2100338959
19901,NISA,T265984
19902,ICELAND,ADD16937/4121
19903,NISA,T288521
19904,UNITAS,UNSI0021599
19905,NISA,T309225
19906,SAINSBURYS,RP8568/U0200/003
19907,SPAR,20/128718
19908,COOP,TI00912474
19909,COOP,PCM101178
19910,AMAZON,2084033539VCBSIN
19911,COOP,TI01217011
19912,ASDA,7000165244
19913,SAINSBURYS,RP8915/U0200/004
19914,SAINSBURYS,RP3371/U0200/003
19915,UNITAS,UNSI0005685
19916,MANDS,1800624510
19917,ICELAND,626 0723
19918,MORRISONS,20232245033775
19919,BESTWAY,889654
19920,MORRISONS,2020850990963
19921,MORRISONS,20221563885061
19922,COOP,TI01253132
19923,TESCO,2100274954
19924,ICELAND,ADD13321/3920
19925,COOP,TI00845328
